,perc_cells_expressed
A1BG,0.001477832512315271
A1BG-AS1,0.04285714285714286
A2ML1,0.022660098522167486
A4GALT,0.018226600985221674
AAAS,0.11822660098522167
AACS,0.23103448275862068
AADAT,0.03103448275862069
AAED1,0.16108374384236454
AAGAB,0.26995073891625615
AAK1,0.5177339901477832
AAMDC,0.05763546798029557
AAMP,0.21724137931034482
AAR2,0.13497536945812807
AARD,0.027093596059113302
AARS,0.3044334975369458
AARS2,0.027093596059113302
AARSD1,0.022660098522167486
AASDH,0.039901477832512314
AASDHPPT,0.16995073891625614
AASS,0.030541871921182268
AATBC,0.0019704433497536944
AATF,0.2596059113300493
AB019441.29,0.10837438423645321
ABALON,0.001477832512315271
ABAT,0.09458128078817735
ABBA01017803.1,0.025123152709359605
ABCA1,0.33004926108374383
ABCA10,0.0024630541871921183
ABCA11P,0.00541871921182266
ABCA12,0.022167487684729065
ABCA13,0.011822660098522168
ABCA2,0.025123152709359605
ABCA5,0.09211822660098522
ABCA7,0.020689655172413793
ABCB10,0.14088669950738916
ABCB7,0.1103448275862069
ABCB8,0.17635467980295566
ABCB9,0.03842364532019704
ABCC1,0.1684729064039409
ABCC10,0.06847290640394088
ABCC13,0.004433497536945813
ABCC2,0.0024630541871921183
ABCC3,0.2788177339901478
ABCC4,0.08226600985221674
ABCC5,0.05714285714285714
ABCC9,0.0049261083743842365
ABCD1,0.011330049261083743
ABCD3,0.3019704433497537
ABCD4,0.11970443349753694
ABCE1,0.32610837438423645
ABCF1,0.432512315270936
ABCF2,0.29901477832512313
ABCF3,0.09014778325123153
ABCG1,0.09211822660098522
ABCG2,0.011822660098522168
ABHD10,0.16995073891625614
ABHD11,0.06354679802955665
ABHD12,0.1330049261083744
ABHD13,0.0748768472906404
ABHD14A,0.025123152709359605
ABHD14B,0.03103448275862069
ABHD15,0.053694581280788176
ABHD17A,0.11428571428571428
ABHD17B,0.03251231527093596
ABHD17C,0.05123152709359606
ABHD2,0.2315270935960591
ABHD3,0.170935960591133
ABHD4,0.04729064039408867
ABHD5,0.10788177339901478
ABHD6,0.029064039408866996
ABHD8,0.027586206896551724
ABI1,0.24482758620689654
ABI2,0.24926108374384237
ABI3BP,0.012807881773399015
ABL1,0.2187192118226601
ABL2,0.370935960591133
ABLIM1,0.24679802955665026
ABLIM3,0.312807881773399
ABR,0.2729064039408867
ABRACL,0.25073891625615763
ABT1,0.22758620689655173
ABTB1,0.040886699507389164
ABTB2,0.012315270935960592
AC000068.5,0.003940886699507389
AC000068.9,0.0024630541871921183
AC000089.3,0.0064039408866995075
AC000123.2,0.015763546798029555
AC000123.3,0.00541871921182266
AC000403.4,0.0024630541871921183
AC002044.1,0.024630541871921183
AC002044.4,0.01083743842364532
AC002066.1,0.003940886699507389
AC002069.5,0.003940886699507389
AC002075.4,0.011822660098522168
AC002116.7,0.002955665024630542
AC002117.1,0.0019704433497536944
AC002310.12,0.0024630541871921183
AC002310.7,0.002955665024630542
AC002398.11,0.001477832512315271
AC002398.13,0.001477832512315271
AC002454.1,0.030049261083743842
AC002456.2,0.0024630541871921183
AC002467.7,0.02167487684729064
AC002550.5,0.001477832512315271
AC002550.6,0.007881773399014778
AC003075.4,0.012315270935960592
AC003080.4,0.001477832512315271
AC003088.1,0.001477832512315271
AC003092.1,0.0019704433497536944
AC003988.1,0.0024630541871921183
AC004000.1,0.002955665024630542
AC004067.5,0.0024630541871921183
AC004069.2,0.004433497536945813
AC004076.5,0.02167487684729064
AC004156.3,0.017733990147783252
AC004159.1,0.001477832512315271
AC004257.1,0.001477832512315271
AC004381.6,0.011822660098522168
AC004383.3,0.003940886699507389
AC004386.4,0.012315270935960592
AC004449.6,0.0019704433497536944
AC004453.8,0.05123152709359606
AC004461.4,0.001477832512315271
AC004510.3,0.0019704433497536944
AC004540.5,0.001477832512315271
AC004556.1,0.014285714285714285
AC004692.5,0.002955665024630542
AC004791.2,0.042364532019704436
AC004832.1,0.005911330049261084
AC004854.4,0.001477832512315271
AC004893.11,0.006896551724137931
AC004938.5,0.009852216748768473
AC004941.5,0.001477832512315271
AC004951.6,0.027586206896551724
AC004967.7,0.006896551724137931
AC004980.7,0.002955665024630542
AC005019.2,0.0019704433497536944
AC005027.3,0.00541871921182266
AC005037.3,0.004433497536945813
AC005042.2,0.004433497536945813
AC005062.2,0.006896551724137931
AC005076.5,0.0064039408866995075
AC005083.1,0.0019704433497536944
AC005154.6,0.042364532019704436
AC005189.6,0.0019704433497536944
AC005220.3,0.001477832512315271
AC005224.2,0.008374384236453201
AC005229.5,0.001477832512315271
AC005229.7,0.014778325123152709
AC005251.3,0.016748768472906402
AC005253.4,0.0024630541871921183
AC005255.3,0.002955665024630542
AC005256.1,0.002955665024630542
AC005262.2,0.019704433497536946
AC005262.4,0.02561576354679803
AC005306.3,0.0024630541871921183
AC005329.7,0.0049261083743842365
AC005336.5,0.004433497536945813
AC005339.2,0.0024630541871921183
AC005351.1,0.005911330049261084
AC005480.1,0.04482758620689655
AC005523.2,0.014778325123152709
AC005523.3,0.0024630541871921183
AC005534.6,0.01083743842364532
AC005540.3,0.0019704433497536944
AC005546.2,0.001477832512315271
AC005592.2,0.0034482758620689655
AC005618.6,0.001477832512315271
AC005682.5,0.03596059113300493
AC005682.7,0.0024630541871921183
AC005776.1,0.0024630541871921183
AC005785.2,0.0034482758620689655
AC005785.5,0.005911330049261084
AC005786.3,0.01625615763546798
AC005863.1,0.012807881773399015
AC005932.1,0.003940886699507389
AC005944.2,0.015763546798029555
AC006028.11,0.001477832512315271
AC006077.3,0.003940886699507389
AC006116.20,0.020689655172413793
AC006262.4,0.0024630541871921183
AC006262.5,0.10394088669950739
AC006369.2,0.0019704433497536944
AC006445.6,0.008374384236453201
AC006445.7,0.015270935960591134
AC006461.2,0.019704433497536946
AC006483.5,0.003940886699507389
AC006509.7,0.0024630541871921183
AC006538.1,0.002955665024630542
AC006539.2,0.007881773399014778
AC006946.16,0.002955665024630542
AC006978.6,0.10738916256157635
AC006994.1,0.0049261083743842365
AC007016.3,0.0024630541871921183
AC007036.4,0.0049261083743842365
AC007038.7,0.0019704433497536944
AC007041.2,0.039901477832512314
AC007163.3,0.0019704433497536944
AC007191.4,0.01083743842364532
AC007193.8,0.001477832512315271
AC007228.9,0.0024630541871921183
AC007229.3,0.0049261083743842365
AC007238.1,0.06256157635467981
AC007246.3,0.015270935960591134
AC007279.2,0.0024630541871921183
AC007283.4,0.004433497536945813
AC007292.3,0.011330049261083743
AC007318.5,0.02413793103448276
AC007365.4,0.013793103448275862
AC007383.3,0.0024630541871921183
AC007383.4,0.001477832512315271
AC007383.6,0.0034482758620689655
AC007387.2,0.011330049261083743
AC007389.2,0.004433497536945813
AC007390.4,0.0019704433497536944
AC007405.6,0.015270935960591134
AC007559.1,0.002955665024630542
AC007618.3,0.0019704433497536944
AC007620.3,0.00541871921182266
AC007679.1,0.001477832512315271
AC007750.5,0.001477832512315271
AC007773.2,0.005911330049261084
AC007790.4,0.001477832512315271
AC007879.7,0.09261083743842365
AC007906.1,0.001477832512315271
AC007950.2,0.003940886699507389
AC007969.4,0.012807881773399015
AC007969.5,0.05714285714285714
AC008065.1,0.02167487684729064
AC008079.10,0.0034482758620689655
AC008155.1,0.008374384236453201
AC008264.4,0.01083743842364532
AC008427.2,0.004433497536945813
AC008697.1,0.0024630541871921183
AC008753.3,0.00541871921182266
AC008850.3,0.04482758620689655
AC008982.2,0.05270935960591133
AC009005.2,0.002955665024630542
AC009120.11,0.00541871921182266
AC009120.3,0.030049261083743842
AC009120.6,0.018226600985221674
AC009120.8,0.0019704433497536944
AC009133.17,0.0019704433497536944
AC009234.1,0.001477832512315271
AC009237.8,0.011822660098522168
AC009245.3,0.03596059113300493
AC009264.1,0.00541871921182266
AC009299.3,0.021182266009852218
AC009303.2,0.00541871921182266
AC009303.3,0.0019704433497536944
AC009362.2,0.06600985221674877
AC009403.2,0.012315270935960592
AC009404.2,0.014778325123152709
AC009413.2,0.007389162561576354
AC009414.1,0.0034482758620689655
AC009474.2,0.01083743842364532
AC009487.6,0.004433497536945813
AC009495.2,0.001477832512315271
AC009500.2,0.0019704433497536944
AC009501.4,0.007881773399014778
AC009502.4,0.0024630541871921183
AC009506.1,0.00541871921182266
AC009517.2,0.013793103448275862
AC009948.5,0.05763546798029557
AC009948.7,0.11970443349753694
AC009961.2,0.008374384236453201
AC009961.3,0.00541871921182266
AC009963.5,0.014778325123152709
AC010095.7,0.005911330049261084
AC010127.3,0.008866995073891626
AC010150.1,0.012315270935960592
AC010168.1,0.001477832512315271
AC010287.1,0.0019704433497536944
AC010468.1,0.008866995073891626
AC010677.5,0.009852216748768473
AC010733.5,0.0034482758620689655
AC010761.10,0.002955665024630542
AC010761.6,0.002955665024630542
AC010761.8,0.004433497536945813
AC010878.3,0.001477832512315271
AC010883.5,0.001477832512315271
AC010894.3,0.0034482758620689655
AC010894.4,0.0019704433497536944
AC011322.1,0.001477832512315271
AC011551.3,0.001477832512315271
